Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Equatorial Guinea,Export,Crustaceans,0,0,0,2,12,3,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Export,Fish,395,144,29,18,16,3,26,30,20,30,10,21,30,24,23,24
Equatorial Guinea,Import,Crustaceans,0,0,7,8,7,11,30,33,50,35,84,107,90,84,101,82
Equatorial Guinea,Import,Fish,2476,4312,3295,4438,6138,5884,7735,7507,6269,10385,7740,9480,12296,11925,9540,6259
Eritrea,Export,Crustaceans,73,28,69,3,65,0,2,50,29,0,0,0,10,1,0,0
Eritrea,Export,Fish,442,134,121,425,53,53,24,134,34,7,0,1,20,0,0,0
Eritrea,Import,Crustaceans,0,9,5,0,3,6,4,0,0,2,1,1,0,0,0,0
Eritrea,Import,Fish,46,76,99,987,153,66,201,80,89,10,47,1,80,28,67,12
Ethiopia,Export,Fish,8,11,32,32,6,1,337,585,394,489,850,826,927,798,904,921
Ethiopia,Import,Crustaceans,0,0,0,0,5,3,0,2,10,14,12,16,27,110,23,14
Ethiopia,Import,Fish,53,24,273,330,202,329,779,369,713,318,396,532,607,1004,1019,1149
Gabon,Export,Crustaceans,1990,2245,2132,1589,2252,2050,1531,1145,529,56,21,0,49,4,2,0
Gabon,Export,Fish,1305,622,1619,438,2621,2772,2852,1082,2342,1459,1284,1178,1172,1183,1307,1163
Gabon,Import,Crustaceans,30,5,7,12,91,20,21,44,71,80,19,17,63,67,102,57
Gabon,Import,Fish,11012,11556,1831,3880,7634,7913,10430,8816,9758,11903,11063,15891,15896,18895,24101,24492
Gambia,Export,Crustaceans,779,272,141,134,60,260,7,117,2,5,26,0,8,14,38,15
Gambia,Export,Fish,584,364,606,440,207,565,67,1595,1743,3906,5911,2367,1911,1323,1450,860
Gambia,Import,Crustaceans,8,61,38,1,3,1,0,0,43,0,0,32,11,2,114,160
Gambia,Import,Fish,826,650,1559,2050,1882,1158,1937,2356,2712,3496,5972,3602,2105,1686,951,1263
Ghana,Export,Crustaceans,355,321,105,234,948,129,300,504,172,46,18,158,18,65,67,177
Ghana,Export,Fish,53786,59712,45057,45629,43797,35482,23422,24907,23442,19226,21631,20085,22176,21665,21064,26395
Ghana,Import,Crustaceans,12,3,24,59,18,31,26,127,32,50,22,115,46,48,97,85
Ghana,Import,Fish,169302,170533,222028,104590,279438,260149,290273,362510,279387,248530,211422,320725,231447,347408,271762,297402
Guinea,Export,Crustaceans,175,96,71,131,13,35,0,0,0,417,220,199,191,66,4,3
Guinea,Export,Fish,2142,3161,4001,4953,7840,17009,14334,7923,7964,6445,7472,7629,9024,9527,10607,11268
Guinea,Import,Crustaceans,0,3,0,0,0,0,0,0,0,3,1,5,21,26,7,4
Guinea,Import,Fish,898,1187,830,1213,634,979,428,772,738,1402,1471,1494,1854,1849,3400,2332
Guinea-Bissau,Export,Crustaceans,77,159,141,203,107,152,61,0,0,0,0,0,0,0,0,0
Guinea-Bissau,Export,Fish,1698,2301,3817,1628,3855,4021,5373,4976,3377,3771,5666,4401,3716,4579,5280,5500
Guinea-Bissau,Import,Crustaceans,0,0,0,0,0,0,20,55,0,0,0,0,0,0,0,0
Guinea-Bissau,Import,Fish,147,167,199,276,338,366,331,644,913,771,305,444,415,562,442,582
Kenya,Export,Crustaceans,412,570,329,534,584,530,536,325,373,131,323,170,113,211,449,227
Kenya,Export,Fish,16242,17785,23643,18414,16688,17190,14098,15699,19719,14431,16757,14359,16478,10986,14167,9991
Kenya,Import,Crustaceans,4,4,19,26,31,15,6,1,0,102,11,22,86,104,126,115
Kenya,Import,Fish,11273,17077,8980,7301,13572,21026,27112,23918,17696,11432,14399,16010,17044,14640,22997,22284
Lesotho,Export,Crustaceans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lesotho,Export,Fish,0,0,7,4,3,0,0,0,25,183,413,388,136,194,528,627
Lesotho,Import,Crustaceans,8,14,4,7,0,0,0,0,5,13,49,34,12,5,10,2
Lesotho,Import,Fish,991,1231,2290,1668,1013,744,721,745,846,1121,1020,2200,1575,1493,3213,3183
Liberia,Export,Crustaceans,0,18,0,28,42,3,7,2,0,0,0,0,11,0,0,0
Liberia,Export,Fish,32,47,151,55,9,75,229,125,65,91,96,91,96,98,102,101
Liberia,Import,Crustaceans,24,1,18,1,5,20,13,18,17,19,10,5,6,8,43,30
Liberia,Import,Fish,3746,1903,1132,2623,1163,1412,2275,1130,4044,3320,6076,6861,7079,11491,14366,12557
Libya,Export,Crustaceans,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0
Libya,Export,Fish,1868,1375,1695,2216,3120,3836,2000,1137,959,579,616,363,980,1024,921,1060
Libya,Import,Crustaceans,6,11,21,38,73,22,3,6,0,140,307,136,110,306,265,164
Libya,Import,Fish,4442,4587,4119,4346,4617,9197,13575,17058,16768,27554,43098,39003,54926,56063,50870,40764
Madagascar,Export,Crustaceans,2156,12538,15282,6358,7333,11941,12013,13443,11473,9479,7715,10642,7372,8207,10452,7117
Madagascar,Export,Fish,10621,16809,15581,23645,19252,10154,17804,13193,8267,6688,11201,12047,8154,8297,10982,11197
